timestamp,cpu_utilization,assigned_memory
31:56.9,0.000328064,0.005989075
08:59.0,0,0.006500244
00:00.0,0.021026611,0.014709473
00:00.0,0.002761841,0.024200439
34:32.8,0.003501892,0.007606506
54:00.2,0.074462891,0.04296875
00:00.0,0.000907898,0.00630188
05:38.1,0.000231743,0.002819061
00:00.0,0.000506401,0.000431061
46:31.0,0.000715256,0.005210876
42:54.4,0.097900391,0.078125
00:00.0,0.002231598,0.0625
29:43.7,0.004501343,0
22:11.0,0.00053215,0.009750366
22:41.2,0.0001688,0.00528717
23:50.3,0.016082764,0
00:00.0,0.000301361,0
35:11.2,0.000220299,0.000195503
26:05.2,0.020080566,0
15:04.0,9.25E-05,0.009750366
19:31.3,0.007331848,0.004486084
10:21.1,0.046264648,0.012741089
44:45.5,0.029205322,0.037780762
07:17.6,0.002296448,0.003585815
58:17.1,0.054626465,0
33:14.9,0.000400543,0.002624512
30:54.1,0.000400543,0.002624512
34:10.9,0,0
24:16.7,5.72E-05,0.000213623
16:01.1,0,0
03:07.9,0.015441895,0.031799316
29:08.9,0.004928589,0.009109497
03:10.8,0.000133514,0.001302719
53:52.4,0.033813477,0
29:04.3,0,0
40:20.3,0.005439758,0.1875
41:36.4,0.000205994,0.003250122
14:49.3,0.000154495,0.009475708
00:00.0,0.00553894,0.00390625
53:57.0,0,0
00:00.0,0.022735596,0.016937256
48:20.0,0.000494003,0
18:05.0,0.001113892,0.010177612
37:19.6,0.000577927,0.002475739
27:59.0,0,0.000370979
33:02.0,0.000200272,0.00668335
55:17.3,0.000199318,0.010421753
40:50.6,0.000200272,0.00668335
00:00.0,0.00553894,0.00390625
23:28.2,0.00053215,0.002624512
23:44.7,0.000205994,0.003250122
43:01.2,0,0.004188538
20:16.0,0.001049042,0.010421753
37:53.7,0.000518799,0.005012512
00:00.0,0.000146866,0
19:02.2,0.000347137,0.005210876
11:56.5,0.000230789,0.010803223
57:36.6,0.001745224,0.000227928
40:01.9,0.004302979,0.032653809
30:59.6,0.000220299,0.000195503
00:00.0,0.000946999,0
38:51.2,0.019592285,0
13:23.3,0.020294189,0.00390625
37:21.6,0.013534546,0.011169434
55:20.7,0.001745224,0.000227928
00:00.0,0.000905991,0.071899414
32:36.1,3.81E-06,0.009368896
00:00.0,0.00011158,0
32:45.5,0.000174522,0.00377655
00:00.0,0.004699707,0
06:37.0,0.000270844,0.000271797
00:00.0,0.016174316,0.011856079
33:37.0,0.000151634,0.00668335
14:48.3,0.021850586,0
23:44.5,0.000220299,0.000195503
11:40.0,0.016418457,0.009765625
12:53.6,0.005439758,0.1875
15:11.2,0.000175476,0.003253937
24:13.1,0.001091003,0.001270294
44:29.7,0.000200272,0.00668335
18:15.4,0.0008564,0.005210876
20:16.0,0.001049042,0.010421753
54:16.4,0.001995087,0
54:24.0,0,0.000231743
00:00.0,0.000556946,0.00026989
58:19.0,0.001386642,0.021453857
50:53.8,0.015075684,0.006568909
02:01.5,0.025604248,0.003368378
43:49.7,0.001091003,0.001270294
34:29.5,0.008743286,0.002658844
45:34.5,0.000890732,0.005210876
09:36.6,0,0.006500244
29:42.1,0.000861168,0.006614685
55:10.4,0.000124931,0.100952148
50:10.8,0.000205994,0.003250122
58:01.7,0.00642395,0.002624512
39:18.3,0.011001587,0
22:21.1,0.001276016,0.000302315
00:00.0,0.000332832,0
44:01.6,0.004776001,0.002780914
59:32.6,0.031982422,0
27:13.4,0.006095886,0
42:09.0,0.000861168,0.006614685
03:44.0,0.013366699,0
17:30.4,0.000205994,0.003250122
17:58.8,0,0.002624512
59:52.8,0.000301361,0.005638123
27:49.4,0,0
22:45.9,0.004470825,0.014877319
00:00.0,0.000619888,0
11:41.2,0,0.002624512
42:30.3,0.000174522,0.00377655
24:02.1,0.000311852,0.001823425
00:00.0,0.000164986,0.003612518
50:56.2,0.025421143,0.010620117
36:49.0,0,0.001197815
48:07.1,0.005615234,0.002624512
40:50.4,0.022369385,0.002605438
45:01.4,0.01020813,0
42:51.2,0,0.000231743
43:38.0,0.026763916,0.102416992
34:33.9,0.007980347,0.006507874
48:17.9,0.003314972,0
20:16.7,0.033508301,0.003368378
47:41.8,1.91E-06,0
51:48.7,0.000611305,0
18:03.2,0.011993408,0
00:00.0,0.000167847,0.005241394
17:45.4,0.004905701,0.073120117
44:10.9,9.06E-05,0.000813484
51:47.8,0.000951767,0.000336647
03:45.0,0.012969971,0
15:21.8,0.013595581,0
22:04.4,0.001745224,0.000227928
03:33.1,0.000151634,0.00668335
35:44.4,0.00069046,0.008865356
10:48.2,0,0
30:10.1,0,0.006507874
25:51.4,0.018066406,0.006507874
26:59.1,0,0.006500244
05:31.4,0.002365112,0.005210876
00:00.0,0.047607422,0.041625977
07:20.7,0.000890732,0.005210876
51:12.8,0.002464294,0.00680542
00:00.0,0.000253677,0.001752853
00:00.0,0.000941277,0.000403404
00:00.0,0.00015831,0
51:59.9,0.000270844,0.000271797
25:03.3,0.031036377,0
00:00.0,0.005882263,0.002830505
17:57.3,0.001745224,0.000227928
00:00.0,8.30E-05,0.003253937
43:48.5,0.000368118,0.005729675
09:26.5,0.001745224,0.000227928
25:44.0,0.000667572,0.004364014
53:06.5,0.001745224,0.000227928
20:10.3,0,0.006500244
30:08.7,0.001745224,0.000227928
09:20.1,0.001304626,0
11:38.5,0.016418457,0.009765625
08:47.6,0.01335144,0.003612518
10:04.8,0.000694275,0
00:00.0,7.63E-05,0.003242493
48:22.6,0.012451172,0.011169434
04:06.5,0.011978149,0.000254631
51:18.2,0.0008564,0.005210876
44:14.4,9.06E-05,0.000813484
46:25.2,0.000184059,0.003612518
00:47.8,0.00920105,0.001783371
43:55.0,0.000175476,0.003253937
33:22.7,0.000220299,0.000195503
00:00.0,0.003376007,0.002624512
13:38.4,0.000445366,0.002075195
32:08.2,0.000400543,0.002624512
00:00.0,0.000164032,0
02:48.9,0.003974915,0.0078125
24:41.9,0.031982422,0
34:13.6,0.026397705,0.009765625
05:29.8,0.005439758,0.1875
20:16.0,0.001049042,0.010421753
48:03.1,0.009475708,0.002098083
54:14.8,0.000400543,0.002624512
23:39.3,0,0.000235558
33:21.3,0.001192093,0
00:29.7,0,0.002555847
19:19.5,0.019165039,0
59:52.4,0,0.000231743
48:24.3,0.004501343,0
05:19.0,0.004470825,0.014877319
08:01.2,0.046569824,0.005470276
00:00.0,9.73E-05,0.003494263
